ModemType,HasRouter,RouterType,RouterSoftware,Subscription,Ping,TestDownload,TestUpload,ConnectionType,NetworkCard,ExternalNIC,Processor,Activities,Advice
Ubee EVM3200,Ja,Apple AirPort,7.6.9,200 Mbit/s down - 20 Mbit/s up,10,95.8,20.6,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,(video)streamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Linksys,Unknown,200 Mbit/s down - 20 Mbit/s up,12,42.5,19.8,"Wifi via 5,0 GHz frequentieband",Broadcom 802.11,Nee,Intel Core i5,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,netgear,netgear,400 Mbit/s down - 40 Mbit/s up,12,240,40,Netwerkkabel,Intel I219-V,Nee,Intel Core i7-6700k,Gamen,Overbelasting voor het netwerk
Technicolor TC7210,Ja,Apple AirPort,Versie 7.7.9 / versie 7.6.9,400 Mbit/s down - 40 Mbit/s up,11,404,41,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,Surfen (websites bezoeken),Geen verbetering
Connectbox (Arris TG2492LG),Ja,Edimax,Unknown,200 Mbit/s down - 20 Mbit/s up,10,248,40,Netwerkkabel,Intel l217-V,Nee,Intel Core i5-7400,Surfen (websites bezoeken),Geen verbetering
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,11,204.5,20.2,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-3770,Gamen,Geen verbetering
Technicolor TC7210,Ja,Synology RT1900ac,1.1,400 Mbit/s down - 40 Mbit/s up,6,319,38,Netwerkkabel,Realtek PCIe GBE Family Controller,Nee,Intel Core i7-4790,Gamen,Overbelasting voor het netwerk
Connectbox (Compal CH7465LG),Ja,Asus RT-AC68U,Unknown,400 Mbit/s down - 40 Mbit/s up,11,292,45,"Wifi via 5,0 GHz frequentieband",Unknown,Nee,Unknown,(video)streamen,Veranderen van netwerkmedium
Cisco EPC3928,Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,13,96.3,19.7,"Wifi via 5,0 GHz frequentieband",Apple BCM5701,Nee,Intel Core i7,Gamen,Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,40 Mbit/s down - 4 Mbit/s up,13,40,4,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Celeron,Surfen (websites bezoeken),Geen verbetering
Mediabox XL (7400),Nee,Unknown,Unknown,250 Mbit/s down - 25 Mbit/s up,12,68.5,26,"Wifi via 5,0 GHz frequentieband",TP-LINK Wireless USB Adapter,Nee,Intel Core i7-4770,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Nee,Unknown,Unknown,200 Mbit/s down - 20 Mbit/s up,18,9,13,"Wifi via 2,4 GHz frequentieband",Apple Broadcom,Nee,Unknown,Surfen (websites bezoeken),Veranderen van netwerkmedium
Connectbox (Compal CH7465LG),Ja,Asus RT-AC68U,Standaard asus firmware,200 Mbit/s down - 20 Mbit/s up,13,204.8,20.5,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i7,(video)streamen,Geen verbetering
Technicolor TC7210,Ja,TP-link ACrcher C7,Unknown,250 Mbit/s down - 40 Mbit/s up,9,94.5,41.5,Netwerkkabel,Realtek PCIe GBE Family Controller,Ja,Intel Core i5-7400,(video)streamen,Overbelasting voor het netwerk
Technicolor TC7210,Ja,Ubiquiti USG,Ubiquiti Unifi,200 Mbit/s down - 20 Mbit/s up,14,202,19,"Wifi via 5,0 GHz frequentieband",Apple Broadcom,Nee,Intel Core i5,Gamen,Veranderen van netwerkmedium
Connectbox (Arris TG2492LG),Ja,Ziggo Access Point,Unknown,200 Mbit/s down - 20 Mbit/s up,12,94.3,20.6,Netwerkkabel,Apple Broadcom,Nee,Intel Core i5,Downloaden,Overbelasting voor het netwerk
